#  Last update: January 16 2024, 11:54:21
#  "IN": Internal residue; "NT": N-terminal residues; "CT": C-terminal residues
#  "Y": Available parameter; "-": Missing Parameter
#
#                                                     DEFAULT
#                            Swiss           Sannerlab (gaff)            Sannerlab_AMBER
#  NSTname            IN   NT   CT               IN   NT   CT               IN   NT   CT
 83   FPG4             Y    -    -                Y    Y    Y                Y    Y    Y
 84   FPH2             Y    -    -                Y    Y    Y                Y    Y    Y
 85   FPH3             Y    -    -                Y    Y    Y                Y    Y    Y
 86   FUA2             Y    -    -                Y    Y    Y                Y    Y    Y
 87   GBUT             Y    -    -                Y    Y    Y                Y    Y    Y
 88   GDPR             Y    -    -                Y    Y    Y                Y    Y    Y
 89    GGB             Y    -    -                Y    Y    Y                Y    Y    Y
 90    GHG             Y    -    -                Y    Y    Y                Y    Y    Y
 91    GME             Y    -    -                Y    Y    Y                Y    Y    Y
 92    HCS             Y    -    -                Y    Y    Y                Y    Y    Y
 93    HGA             Y    -    -                Y    Y    Y                Y    Y    Y
 94    HHK             Y    -    -                Y    Y    Y                Y    Y    Y
 95   HIL4             Y    -    -                Y    Y    Y                Y    Y    Y
 96    HL2             Y    -    -                Y    Y    Y                Y    Y    Y
 97   HLEU             Y    -    -                Y    Y    Y                Y    Y    Y
 98    HLU             Y    -    -                Y    Y    Y                Y    Y    Y
 99    HOX             Y    -    -                Y    Y    Y                Y    Y    Y
100    HPE             Y    -    -                Y    Y    Y                Y    Y    Y
101    HQA             Y    -    -                Y    Y    Y                Y    Y    Y
102    HRG             Y    -    -                Y    Y    Y                Y    Y    Y
103    HRP             Y    -    -                Y    Y    Y                Y    Y    Y
104   HSER             Y    -    -                Y    Y    Y                Y    Y    Y
105    HTR             Y    -    -                Y    Y    Y                Y    Y    Y
106    HVA             Y    -    -                Y    Y    Y                Y    Y    Y
107    I2M             Y    -    -                Y    Y    Y                Y    Y    Y
108    IGL             Y    -    -                Y    Y    Y                Y    Y    Y
109    IIL             Y    -    -                Y    Y    Y                Y    Y    Y
110    ILX             Y    -    -                Y    Y    Y                Y    Y    Y
111    LDO             Y    -    -                Y    Y    Y                Y    Y    Y
112    LE1             Y    -    -                Y    Y    Y                Y    Y    Y
113    LED             Y    -    -                Y    Y    Y                Y    Y    Y
114    LEF             Y    -    -                Y    Y    Y                Y    Y    Y
115    LME             Y    -    -                Y    Y    Y                Y    Y    Y
116    LMQ             Y    -    -                Y    Y    Y                Y    Y    Y
117    LVG             Y    -    -                Y    Y    Y                Y    Y    Y
118    LVN             Y    -    -                Y    Y    Y                Y    Y    Y
119    ME0             Y    -    -                Y    Y    Y                Y    Y    Y
120    MEG             Y    -    -                Y    Y    Y                Y    Y    Y
121    MEN             Y    -    -                Y    Y    Y                Y    Y    Y
122    MEQ             Y    -    -                Y    Y    Y                Y    Y    Y
123   MOT5             Y    -    -                Y    Y    Y                Y    Y    Y
124   MP34             Y    -    -                Y    Y    Y                Y    Y    Y
125   MPH2             Y    -    -                Y    Y    Y                Y    Y    Y
126   MTR5             Y    -    -                Y    Y    Y                Y    Y    Y
127   MTR6             Y    -    -                Y    Y    Y                Y    Y    Y
128    MTY             Y    -    -                Y    Y    Y                Y    Y    Y
129   NAO1             Y    -    -                Y    Y    Y                Y    Y    Y
130   NAO2             Y    -    -                Y    Y    Y                Y    Y    Y
131    NLE             Y    -    -                Y    Y    Y                Y    Y    Y
132    NVA             Y    -    -                Y    Y    Y                Y    Y    Y
133    OAS             Y    -    -                Y    Y    Y                Y    Y    Y
134    OBF             Y    -    -                Y    Y    Y                Y    Y    Y
135    OCY             Y    -    -                Y    Y    Y                Y    Y    Y
136    OLT             Y    -    -                Y    Y    Y                Y    Y    Y
137    OMT             Y    -    -                Y    Y    Y                Y    Y    Y
138    OMX             Y    -    -                Y    Y    Y                Y    Y    Y
139    OMY             Y    -    -                Y    Y    Y                Y    Y    Y
140    ONL             Y    -    -                Y    Y    Y                Y    Y    Y
141    ORN             Y    -    -                Y    Y    Y                Y    Y    Y
142   OTYR             Y    -    -                Y    Y    Y                Y    Y    Y
143    PF5             Y    -    -                Y    Y    Y                Y    Y    Y
144    PFF             Y    -    -                Y    Y    Y                Y    Y    Y
145    PTR             Y    -    -                Y    Y    Y                Y    Y    Y
146   PYR2             Y    -    -                Y    Y    Y                Y    Y    Y
147   PYR3             Y    -    -                Y    Y    Y                Y    Y    Y
148   PYR4             Y    -    -                Y    Y    Y                Y    Y    Y
149   PYZ1             Y    -    -                Y    Y    Y                Y    Y    Y
150   QU32             Y    -    -                Y    Y    Y                Y    Y    Y
151   QU34             Y    -    -                Y    Y    Y                Y    Y    Y
152   QU35             Y    -    -                Y    Y    Y                Y    Y    Y
153   QU36             Y    -    -                Y    Y    Y                Y    Y    Y
154    SEP             Y    -    -                Y    Y    Y                Y    Y    Y
155   TBP4             Y    -    -                Y    Y    Y                Y    Y    Y
156   TEZA             Y    -    -                Y    Y    Y                Y    Y    Y
157   TFG2             Y    -    -                Y    Y    Y                Y    Y    Y
158   TFG3             Y    -    -                Y    Y    Y                Y    Y    Y
159   TFG4             Y    -    -                Y    Y    Y                Y    Y    Y
160   TFLE             Y    -    -                Y    Y    Y                Y    Y    Y
161   TFP2             Y    -    -                Y    Y    Y                Y    Y    Y
162   TFP3             Y    -    -                Y    Y    Y                Y    Y    Y
163   TFP4             Y    -    -                Y    Y    Y                Y    Y    Y
164    TH6             Y    -    -                Y    Y    Y                Y    Y    Y
165   THA3             Y    -    -                Y    Y    Y                Y    Y    Y
166   THG2             Y    -    -                Y    Y    Y                Y    Y    Y
167   THG3             Y    -    -                Y    Y    Y                Y    Y    Y
168    TIH             Y    -    -                Y    Y    Y                Y    Y    Y
169    TPO             Y    -    -                Y    Y    Y                Y    Y    Y
170   TPO2             Y    -    -                Y    Y    Y                Y    Y    Y
171    TRO             Y    -    -                Y    Y    Y                Y    Y    Y
172    TRX             Y    -    -                Y    Y    Y                Y    Y    Y
173   TRZ4             Y    -    -                Y    Y    Y                Y    Y    Y
174    TTQ             Y    -    -                Y    Y    Y                Y    Y    Y
175    TY2             Y    -    -                Y    Y    Y                Y    Y    Y
176    TYQ             Y    -    -                Y    Y    Y                Y    Y    Y
177   TZA4             Y    -    -                Y    Y    Y                Y    Y    Y
178    UN1             Y    -    -                Y    Y    Y                Y    Y    Y
179    VAH             Y    -    -                Y    Y    Y                Y    Y    Y
180    WFP             Y    -    -                Y    Y    Y                Y    Y    Y
181    YCM             Y    -    -                Y    Y    Y                Y    Y    Y
182    YOF             Y    -    -                Y    Y    Y                Y    Y    Y
#
183   AZDA             Y    -    -                Y    Y    Y                -    -    -
184    FT6             -    -    -                Y    Y    Y                -    -    -
185    FTR             -    -    -                Y    Y    Y                -    -    -
186   FVAL             -    -    -                Y    Y    Y                -    -    -
187    M2S             Y    -    -                Y    Y    Y                -    -    -
188    MHO             Y    -    -                Y    Y    Y                -    -    -
