# Created by Michel Sanner and Sudhanshu Shanker
# Developed using backbone independent rotamer library from: www.swisssidechain.ch
# Last update: August 10 2023, 14:13:55
# NSTname  LType  DType  NameOfDform
      TIH      Y      Y         DTIH
      TPO      Y      Y         DTPO
     TPO2      Y      Y         DPO6
      TRO      Y      Y         DTRO
      TRX      Y      Y         DTRX
     TRZ4      Y      Y         DTZR
      TTQ      Y      Y         DTTQ
      TY2      Y      Y         DTY2
      TYI      Y      Y         DTYI
      TYQ      Y      Y         DTYQ
     TZA4      Y      Y         D4TH
      UN1      Y      Y         DUN1
      VAH      Y      Y         DVAH
      WFP      Y      Y         DWFP
      YCM      Y      Y         DYCM
      YOF      Y      Y         DYOF
# ----------------------------------
#   Total    209    209
